C1,L1,Rp,Wn,Wn5,Wn6,Wvar,OscillationFrequency,PowerConsumption,OutputPower,PhaseNoise,TuningRange
1.5e-13,4e-09,1000.0,1.2e-06,1.2e-05,4e-06,5e-06,3620000000.0,0.00746,17.5,-101.4,40200000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.1e-05,3.2e-06,4e-06,3650000000.0,0.00671,17.42,-96.81,13200000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.1e-05,3.2e-06,3.5e-06,3740000000.0,0.00671,17.49,-96.73,5640000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.1e-05,3.2e-06,5e-06,3510000000.0,0.00671,17.32,-91.45,80100000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.1e-05,2.4e-06,3e-06,3850000000.0,0.00517,17.15,-92.41,31100000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.1e-05,4e-06,4e-06,3630000000.0,0.0082,17.7,-93.43,7260000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.1e-05,4e-06,3.5e-06,3710000000.0,0.0082,17.77,-94.02,197000000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.1e-05,4e-06,4.5e-06,3550000000.0,0.0082,17.65,-101.7,175000000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.2e-05,3.2e-06,3e-06,3830000000.0,0.00625,17.44,-93.62,11100000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.2e-05,3.2e-06,4.5e-06,3580000000.0,0.00625,17.26,-97.31,32300000.0
1.5e-13,4e-09,1000.0,1.6e-06,1.2e-05,3.2e-06,5e-06,3510000000.0,0.00625,17.21,-103.0,9260000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.1e-05,3.2e-06,4.5e-06,3340000000.0,0.00688,17.36,-96.72,26100000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.1e-05,2.4e-06,4e-06,3430000000.0,0.00529,17.02,-95.23,48500000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.1e-05,2.4e-06,4.5e-06,3370000000.0,0.00529,16.96,-102.9,11700000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.1e-05,2.4e-06,5e-06,3310000000.0,0.00529,16.91,-102.1,50300000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.1e-05,4e-06,3.5e-06,3450000000.0,0.00845,17.74,-95.1,244000000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.2e-05,3.2e-06,5e-06,3290000000.0,0.00642,17.2,-92.66,293000000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.2e-05,4e-06,4e-06,3390000000.0,0.00787,17.57,-94.56,55500000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.2e-05,4e-06,3e-06,3530000000.0,0.00787,17.7,-98.08,9250000.0
1.5e-13,4e-09,1000.0,2.4e-06,1.2e-05,4e-06,4.5e-06,3320000000.0,0.00787,17.51,-93.24,164000000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.1e-05,3.2e-06,3e-06,3430000000.0,0.00694,17.49,-96.31,14200000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.1e-05,3.2e-06,3.5e-06,3360000000.0,0.00694,17.45,-95.31,2720000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.1e-05,2.4e-06,4e-06,3320000000.0,0.00533,17.01,-94.97,47400000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.1e-05,2.4e-06,4.5e-06,3270000000.0,0.00533,16.96,-93.81,3850000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.1e-05,4e-06,3e-06,3410000000.0,0.00853,17.76,-94.24,34200000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.1e-05,4e-06,3.5e-06,3340000000.0,0.00853,17.69,-96.24,12300000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.2e-05,3.2e-06,3e-06,3430000000.0,0.00647,17.38,-97.49,88000000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.2e-05,3.2e-06,5e-06,3190000000.0,0.00647,17.19,-97.04,269000000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.2e-05,2.4e-06,4.5e-06,3270000000.0,0.00497,16.82,-97.65,150000000.0
1.5e-13,4e-09,1000.0,2.8e-06,1.2e-05,4e-06,3.5e-06,3350000000.0,0.00795,17.59,-97.55,216000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,3.2e-06,3e-06,3640000000.0,0.00681,17.9,-94.71,25200000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,3.2e-06,4.5e-06,3430000000.0,0.00681,17.73,-100.5,297000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,3.2e-06,5e-06,3360000000.0,0.00681,17.68,-95.21,302000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,2.4e-06,4e-06,3520000000.0,0.00524,17.5,-96.37,283000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,2.4e-06,3e-06,3670000000.0,0.00524,17.61,-97.71,240000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,2.4e-06,3.5e-06,3600000000.0,0.00524,17.56,-95.52,262000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,2.4e-06,4.5e-06,3460000000.0,0.00524,17.44,-99.69,310000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,2.4e-06,5e-06,3400000000.0,0.00524,17.38,-100.9,327000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,4e-06,4e-06,3460000000.0,0.00835,17.99,-92.84,270000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,4e-06,3e-06,3620000000.0,0.00835,18.1,-94.1,246000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,4e-06,3.5e-06,3540000000.0,0.00835,18.06,-93.07,250000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,4e-06,4.5e-06,3400000000.0,0.00835,17.94,-88.91,292000000.0
1.5e-13,4e-09,2000.0,2e-06,1.1e-05,4e-06,5e-06,3330000000.0,0.00835,17.9,-95.9,295000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,3.2e-06,4e-06,3500000000.0,0.00635,17.68,-99.72,281000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,3.2e-06,3e-06,3650000000.0,0.00635,17.8,-96.16,38700000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,3.2e-06,3.5e-06,3570000000.0,0.00635,17.74,-98.47,259000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,3.2e-06,4.5e-06,3430000000.0,0.00635,17.65,-100.6,300000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,3.2e-06,5e-06,3370000000.0,0.00635,17.59,-94.81,306000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,2.4e-06,4e-06,3530000000.0,0.00488,17.4,-100.2,292000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,2.4e-06,3e-06,3680000000.0,0.00488,17.53,-97.67,246000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,2.4e-06,3.5e-06,3600000000.0,0.00488,17.47,-98.46,268000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,2.4e-06,4.5e-06,3460000000.0,0.00488,17.35,-96.19,312000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,2.4e-06,5e-06,3400000000.0,0.00488,17.3,-102.8,333000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,4e-06,4e-06,3470000000.0,0.00778,17.9,-95.69,266000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,4e-06,3e-06,3630000000.0,0.00778,18.02,-95.01,227000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,4e-06,3.5e-06,3550000000.0,0.00778,17.95,-94.59,257000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,4e-06,4.5e-06,3410000000.0,0.00778,17.84,-93.94,293000000.0
1.5e-13,4e-09,2000.0,2e-06,1.2e-05,4e-06,5e-06,3340000000.0,0.00778,17.8,-96.5,303000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,3.2e-06,4e-06,3780000000.0,0.00656,17.83,-95.02,363000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,3.2e-06,3e-06,3970000000.0,0.00656,17.96,-94.4,288000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,3.2e-06,3.5e-06,3870000000.0,0.00656,17.9,-91.38,335000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,3.2e-06,4.5e-06,3700000000.0,0.00656,17.78,-95.83,372000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,3.2e-06,5e-06,3620000000.0,0.00656,17.73,-97.98,375000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,2.4e-06,4e-06,3810000000.0,0.00508,17.54,-96.18,365000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,2.4e-06,3e-06,4000000000.0,0.00508,17.69,-90.81,317000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,2.4e-06,3.5e-06,3900000000.0,0.00508,17.6,-98.26,334000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,2.4e-06,4.5e-06,3730000000.0,0.00508,17.48,-98.54,399000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,2.4e-06,5e-06,3650000000.0,0.00508,17.43,-93.06,410000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,4e-06,4e-06,3750000000.0,0.008,18.06,-93.89,346000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,4e-06,3e-06,3940000000.0,0.008,18.18,-93.55,306000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,4e-06,3.5e-06,3840000000.0,0.008,18.12,-94.66,320000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,4e-06,4.5e-06,3670000000.0,0.008,17.98,-94.74,367000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.1e-05,4e-06,5e-06,3590000000.0,0.008,17.95,-90.04,379000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,3.2e-06,4e-06,3790000000.0,0.00612,17.75,-103.1,343000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,3.2e-06,3e-06,3970000000.0,0.00612,17.87,-97.88,304000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,3.2e-06,3.5e-06,3880000000.0,0.00612,17.81,-101.1,324000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,3.2e-06,4.5e-06,3700000000.0,0.00612,17.67,-97.76,362000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,3.2e-06,5e-06,3630000000.0,0.00612,17.62,-72.08,385000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,2.4e-06,4e-06,3820000000.0,0.00473,17.45,-99.62,358000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,2.4e-06,3e-06,4000000000.0,0.00473,17.59,-93.16,305000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,2.4e-06,3.5e-06,3910000000.0,0.00473,17.52,-99.59,331000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,2.4e-06,4.5e-06,3740000000.0,0.00473,17.39,-94.79,382000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,2.4e-06,5e-06,3660000000.0,0.00473,17.34,-83.33,410000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,4e-06,4e-06,3760000000.0,0.00746,17.96,-94.48,349000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,4e-06,3e-06,3950000000.0,0.00746,18.11,-85.73,297000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,4e-06,3.5e-06,3850000000.0,0.00746,18.02,-93.58,309000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,4e-06,4.5e-06,3680000000.0,0.00746,17.91,-94.84,357000000.0
1.5e-13,4e-09,2000.0,1.2e-06,1.2e-05,4e-06,5e-06,3600000000.0,0.00746,17.84,-90.93,370000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,3.2e-06,4e-06,3630000000.0,0.00671,17.82,-84.62,309000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,3.2e-06,3e-06,3790000000.0,0.00671,17.95,-97.87,268000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,3.2e-06,3.5e-06,3710000000.0,0.00671,17.87,-94.89,288000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,3.2e-06,4.5e-06,3550000000.0,0.00671,17.74,-95.98,329000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,3.2e-06,5e-06,3480000000.0,0.00671,17.69,-93.21,349000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,2.4e-06,4e-06,3660000000.0,0.00517,17.51,-99.94,319000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,2.4e-06,3e-06,3820000000.0,0.00517,17.65,-95.85,273000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,2.4e-06,3.5e-06,3740000000.0,0.00517,17.59,-101.5,305000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,2.4e-06,4.5e-06,3590000000.0,0.00517,17.47,-98.11,335000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,2.4e-06,5e-06,3520000000.0,0.00517,17.41,-97.02,369000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,4e-06,4e-06,3600000000.0,0.0082,18.01,-94.14,301000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,4e-06,3e-06,3760000000.0,0.0082,18.15,-92.81,255000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,4e-06,3.5e-06,3680000000.0,0.0082,18.07,-91.6,279000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,4e-06,4.5e-06,3520000000.0,0.0082,17.97,-92.07,317000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.1e-05,4e-06,5e-06,3450000000.0,0.0082,17.93,-98.03,337000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,3.2e-06,4e-06,3630000000.0,0.00625,17.71,-95.12,318000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,3.2e-06,3e-06,3800000000.0,0.00625,17.84,-95.6,266000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,3.2e-06,3.5e-06,3710000000.0,0.00625,17.79,-98.14,282000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,3.2e-06,4.5e-06,3560000000.0,0.00625,17.66,-98.65,328000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,3.2e-06,5e-06,3490000000.0,0.00625,17.6,-73.89,348000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,2.4e-06,4e-06,3660000000.0,0.00482,17.42,-93.59,329000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,2.4e-06,3e-06,3830000000.0,0.00482,17.57,-95.01,268000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,2.4e-06,3.5e-06,3740000000.0,0.00482,17.49,-74.83,291000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,2.4e-06,4.5e-06,3590000000.0,0.00482,17.38,-101.0,338000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,2.4e-06,5e-06,3520000000.0,0.00482,17.31,-88.7,364000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,4e-06,4e-06,3600000000.0,0.00764,17.92,-95.45,314000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,4e-06,3e-06,3770000000.0,0.00764,18.05,-95.77,252000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,4e-06,3.5e-06,3690000000.0,0.00764,18.0,-90.23,289000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,4e-06,4.5e-06,3530000000.0,0.00764,17.88,-94.92,304000000.0
1.5e-13,4e-09,2000.0,1.6e-06,1.2e-05,4e-06,5e-06,3460000000.0,0.00764,17.84,-99.72,328000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,3.2e-06,4e-06,3380000000.0,0.00688,17.75,-105.2,260000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,3.2e-06,3e-06,3510000000.0,0.00688,17.87,-96.69,220000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,3.2e-06,3.5e-06,3440000000.0,0.00688,17.8,-96.04,244000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,3.2e-06,4.5e-06,3320000000.0,0.00688,17.71,-97.12,269000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,3.2e-06,5e-06,3260000000.0,0.00688,17.65,-102.1,290000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,2.4e-06,4e-06,3410000000.0,0.00529,17.46,-101.5,266000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,2.4e-06,3e-06,3540000000.0,0.00529,17.59,-97.17,218000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,2.4e-06,3.5e-06,3470000000.0,0.00529,17.52,-98.73,238000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,2.4e-06,4.5e-06,3350000000.0,0.00529,17.41,-105.8,286000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,2.4e-06,5e-06,3290000000.0,0.00529,17.37,-100.1,290000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,4e-06,4e-06,3350000000.0,0.00845,17.98,-90.22,252000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,4e-06,3e-06,3490000000.0,0.00845,18.07,-95.78,215000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,4e-06,3.5e-06,3420000000.0,0.00845,18.0,-93.27,244000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,4e-06,4.5e-06,3290000000.0,0.00845,17.91,-94.34,267000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.1e-05,4e-06,5e-06,3230000000.0,0.00845,17.85,-95.57,287000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,3.2e-06,4e-06,3380000000.0,0.00642,17.66,-96.33,253000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,3.2e-06,3e-06,3520000000.0,0.00642,17.79,-95.78,211000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,3.2e-06,3.5e-06,3450000000.0,0.00642,17.72,-98.47,244000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,3.2e-06,4.5e-06,3320000000.0,0.00642,17.62,-99.19,269000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,3.2e-06,5e-06,3260000000.0,0.00642,17.57,-96.74,284000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,2.4e-06,4e-06,3410000000.0,0.00493,17.39,-71.36,260000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,2.4e-06,3e-06,3550000000.0,0.00493,17.5,-94.39,222000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,2.4e-06,3.5e-06,3480000000.0,0.00493,17.43,-101.3,249000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,2.4e-06,4.5e-06,3350000000.0,0.00493,17.33,-99.43,281000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,2.4e-06,5e-06,3290000000.0,0.00493,17.28,-99.27,302000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,4e-06,4e-06,3360000000.0,0.00787,17.88,-94.31,246000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,4e-06,3e-06,3500000000.0,0.00787,18.0,-94.08,205000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,4e-06,3.5e-06,3430000000.0,0.00787,17.93,-94.59,230000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,4e-06,4.5e-06,3300000000.0,0.00787,17.81,-93.12,271000000.0
1.5e-13,4e-09,2000.0,2.4e-06,1.2e-05,4e-06,5e-06,3240000000.0,0.00787,17.79,-93.76,282000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,3.2e-06,4e-06,3270000000.0,0.00694,17.73,-97.28,229000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,3.2e-06,3e-06,3400000000.0,0.00694,17.82,-96.21,196000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,3.2e-06,3.5e-06,3330000000.0,0.00694,17.76,-97.32,217000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,3.2e-06,4.5e-06,3220000000.0,0.00694,17.68,-91.94,251000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,3.2e-06,5e-06,3160000000.0,0.00694,17.63,-98.19,260000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,2.4e-06,4e-06,3300000000.0,0.00533,17.44,-101.2,234000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,2.4e-06,3e-06,3420000000.0,0.00533,17.55,-98.93,199000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,2.4e-06,3.5e-06,3360000000.0,0.00533,17.5,-100.4,223000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,2.4e-06,4.5e-06,3240000000.0,0.00533,17.39,-101.0,258000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,2.4e-06,5e-06,3190000000.0,0.00533,17.35,-94.32,269000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,4e-06,4e-06,3250000000.0,0.00853,17.94,-93.88,228000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,4e-06,3e-06,3370000000.0,0.00853,18.05,-86.76,184000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,4e-06,3.5e-06,3310000000.0,0.00853,17.99,-94.02,208000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,4e-06,4.5e-06,3190000000.0,0.00853,17.89,-93.94,241000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.1e-05,4e-06,5e-06,3140000000.0,0.00853,17.82,-95.13,259000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.2e-05,3.2e-06,4e-06,3280000000.0,0.00647,17.64,-98.07,236000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.2e-05,3.2e-06,3e-06,3400000000.0,0.00647,17.74,-98.68,202000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.2e-05,3.2e-06,3.5e-06,3340000000.0,0.00647,17.68,-103.6,222000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.2e-05,3.2e-06,4.5e-06,3220000000.0,0.00647,17.58,-98.56,257000000.0
1.5e-13,4e-09,2000.0,2.8e-06,1.2e-05,3.2e-06,5e-06,3170000000.0,0.00647,17.55,-92.8,262000000.0
