VDD,Vgate,Wn,Rd,Bandwidth,PowerConsumption,VoltageGain
1.2,0.6,4e-06,3000,70200000.0,0.000126,10.91
1.2,0.6,6e-06,1000,187000000.0,0.000217,6.77
1.2,0.6,6e-06,500,346000000.0,0.000235,1.9
1.2,0.6,6e-06,600,293000000.0,0.000231,3.24
1.2,0.6,6e-06,700,255000000.0,0.000227,4.34
1.2,0.6,6e-06,800,227000000.0,0.000224,5.27
1.2,0.6,6e-06,900,204000000.0,0.00022,6.07
1.2,0.6,6e-06,1100,172000000.0,0.000214,7.38
1.2,0.6,6e-06,1200,159000000.0,0.00021,7.94
1.2,0.6,6e-06,1300,149000000.0,0.000207,8.43
1.2,0.6,6e-06,1400,140000000.0,0.000204,8.88
1.2,0.6,6e-06,1500,132000000.0,0.000202,9.29
1.2,0.6,6e-06,1600,126000000.0,0.000199,9.67
1.2,0.6,6e-06,1700,119000000.0,0.000196,10.02
1.2,0.6,6e-06,1800,114000000.0,0.000194,10.34
1.2,0.6,6e-06,1900,109000000.0,0.000191,10.64
1.2,0.6,6e-06,2000,105000000.0,0.000189,10.91
1.2,0.6,6e-06,2100,101000000.0,0.000187,11.17
1.2,0.6,6e-06,2200,97100000.0,0.000185,11.42
1.2,0.6,6e-06,2300,93800000.0,0.000182,11.65
1.2,0.6,6e-06,2400,90800000.0,0.00018,11.86
1.2,0.6,6e-06,2500,88000000.0,0.000178,12.07
1.2,0.6,6e-06,2600,85300000.0,0.000176,12.26
1.2,0.6,6e-06,2700,82800000.0,0.000174,12.44
1.2,0.6,6e-06,2800,80300000.0,0.000172,12.61
1.2,0.6,6e-06,2900,78300000.0,0.000171,12.78
1.2,0.6,6e-06,3000,76400000.0,0.000169,12.94
1.2,0.6,7e-06,1000,190000000.0,0.000247,7.76
1.2,0.6,7e-06,500,350000000.0,0.000271,3.04
1.2,0.6,7e-06,600,297000000.0,0.000265,4.34
1.2,0.6,7e-06,700,259000000.0,0.00026,5.41
1.2,0.6,7e-06,800,231000000.0,0.000256,6.31
1.2,0.6,7e-06,900,208000000.0,0.000251,7.09
1.2,0.6,7e-06,1100,176000000.0,0.000243,8.36
1.2,0.6,7e-06,1200,163000000.0,0.000239,8.88
1.2,0.6,7e-06,1300,153000000.0,0.000235,9.36
1.2,0.6,7e-06,1400,144000000.0,0.000231,9.79
1.2,0.6,7e-06,1500,136000000.0,0.000228,10.18
1.2,0.6,7e-06,1600,129000000.0,0.000224,10.54
1.2,0.6,7e-06,1700,123000000.0,0.000221,10.87
1.2,0.6,7e-06,1800,117000000.0,0.000218,11.18
1.2,0.6,7e-06,1900,113000000.0,0.000215,11.46
1.2,0.6,7e-06,2000,108000000.0,0.000212,11.72
1.2,0.6,7e-06,2100,104000000.0,0.000209,11.97
1.2,0.6,7e-06,2200,100000000.0,0.000206,12.2
1.2,0.6,7e-06,2300,96800000.0,0.000204,12.41
1.2,0.6,7e-06,2400,93800000.0,0.000201,12.62
1.2,0.6,7e-06,2500,91000000.0,0.000199,12.81
1.2,0.6,7e-06,2600,88300000.0,0.000196,12.99
1.2,0.6,7e-06,2700,85800000.0,0.000194,13.16
1.2,0.6,7e-06,2800,83400000.0,0.000192,13.32
1.2,0.6,7e-06,2900,81100000.0,0.00019,13.47
1.2,0.6,7e-06,3000,79000000.0,0.000188,13.62
1.2,0.6,8e-06,1000,194000000.0,0.000275,8.59
1.2,0.6,8e-06,500,355000000.0,0.000305,4.0
1.2,0.6,8e-06,600,301000000.0,0.000298,5.27
1.2,0.6,8e-06,700,263000000.0,0.000292,6.31
1.2,0.6,8e-06,800,235000000.0,0.000286,7.19
1.2,0.6,8e-06,900,212000000.0,0.000281,7.94
1.2,0.6,8e-06,1100,179000000.0,0.00027,9.16
1.2,0.6,8e-06,1200,167000000.0,0.000265,9.67
1.2,0.6,8e-06,1300,156000000.0,0.000261,10.13
1.2,0.6,8e-06,1400,147000000.0,0.000256,10.54
1.2,0.6,8e-06,1500,139000000.0,0.000252,10.92
1.2,0.6,8e-06,1600,132000000.0,0.000248,11.26
1.2,0.6,8e-06,1700,126000000.0,0.000244,11.58
1.2,0.6,8e-06,1800,120000000.0,0.00024,11.87
1.2,0.6,8e-06,1900,116000000.0,0.000237,12.13
1.2,0.6,8e-06,2000,111000000.0,0.000233,12.38
1.2,0.6,8e-06,2100,107000000.0,0.00023,12.62
1.2,0.6,8e-06,2200,103000000.0,0.000227,12.83
1.2,0.6,8e-06,2300,99700000.0,0.000224,13.04
1.2,0.6,8e-06,2400,96600000.0,0.000221,13.23
1.2,0.6,8e-06,2500,93800000.0,0.000218,13.41
1.2,0.6,8e-06,2600,91100000.0,0.000215,13.58
1.2,0.6,8e-06,2700,88600000.0,0.000212,13.74
1.2,0.6,8e-06,2800,86200000.0,0.00021,13.89
1.2,0.6,8e-06,2900,83900000.0,0.000207,14.04
1.2,0.6,8e-06,3000,81700000.0,0.000205,14.18
1.2,0.6,9e-06,1000,198000000.0,0.000303,9.3
1.2,0.6,9e-06,500,359000000.0,0.000339,4.83
1.2,0.6,9e-06,600,305000000.0,0.00033,6.07
1.2,0.6,9e-06,700,267000000.0,0.000323,7.09
1.2,0.6,9e-06,800,238000000.0,0.000316,7.94
1.2,0.6,9e-06,900,216000000.0,0.000309,8.67
1.2,0.6,9e-06,1100,183000000.0,0.000297,9.85
1.2,0.6,9e-06,1200,170000000.0,0.000291,10.34
1.2,0.6,9e-06,1300,160000000.0,0.000285,10.78
1.2,0.6,9e-06,1400,151000000.0,0.00028,11.18
1.2,0.6,9e-06,1500,142000000.0,0.000275,11.54
1.2,0.6,9e-06,1600,135000000.0,0.00027,11.87
1.2,0.6,9e-06,1700,129000000.0,0.000266,12.17
1.2,0.6,9e-06,1800,124000000.0,0.000262,12.44
1.2,0.6,9e-06,1900,119000000.0,0.000257,12.7
1.2,0.6,9e-06,2000,114000000.0,0.000253,12.94
1.2,0.6,9e-06,2100,110000000.0,0.00025,13.16
1.2,0.6,9e-06,2200,106000000.0,0.000246,13.37
1.2,0.6,9e-06,2300,103000000.0,0.000242,13.56
1.2,0.6,9e-06,2400,99200000.0,0.000239,13.74
1.2,0.6,9e-06,2500,96400000.0,0.000235,13.91
1.2,0.6,9e-06,2600,93700000.0,0.000232,14.07
1.2,0.6,9e-06,2700,91100000.0,0.000229,14.23
1.2,0.6,9e-06,2800,88700000.0,0.000226,14.37
1.2,0.6,9e-06,2900,86500000.0,0.000223,14.51
1.2,0.6,9e-06,3000,84300000.0,0.00022,14.64
1.2,0.6,1e-05,1000,201000000.0,0.000329,9.91
1.2,0.6,1e-05,500,363000000.0,0.000371,5.55
1.2,0.6,1e-05,600,309000000.0,0.000362,6.77
1.2,0.6,1e-05,700,271000000.0,0.000353,7.76
1.2,0.6,1e-05,800,242000000.0,0.000344,8.59
1.2,0.6,1e-05,900,219000000.0,0.000336,9.3
1.2,0.6,1e-05,1100,186000000.0,0.000322,10.44
1.2,0.6,1e-05,1200,174000000.0,0.000315,10.92
1.2,0.6,1e-05,1300,163000000.0,0.000309,11.34
1.2,0.6,1e-05,1400,154000000.0,0.000303,11.72
1.2,0.6,1e-05,1500,146000000.0,0.000297,12.07
1.2,0.6,1e-05,1600,138000000.0,0.000292,12.38
1.2,0.6,1e-05,1700,132000000.0,0.000287,12.67
1.2,0.6,1e-05,1800,127000000.0,0.000282,12.94
1.2,0.6,1e-05,1900,121000000.0,0.000277,13.18
1.2,0.6,1e-05,2000,117000000.0,0.000272,13.41
1.2,0.6,1e-05,2100,113000000.0,0.000268,13.62
1.2,0.6,1e-05,2200,109000000.0,0.000264,13.82
1.2,0.6,1e-05,2300,105000000.0,0.00026,14.0
1.2,0.6,1e-05,2400,102000000.0,0.000256,14.18
1.2,0.6,1e-05,2500,98800000.0,0.000252,14.34
1.2,0.6,1e-05,2600,96100000.0,0.000248,14.49
1.2,0.6,1e-05,2700,93500000.0,0.000245,14.64
1.2,0.6,1e-05,2800,91100000.0,0.000242,14.78
1.2,0.6,1e-05,2900,88800000.0,0.000238,14.91
1.2,0.6,1e-05,3000,86700000.0,0.000235,15.03
1.2,0.65,5e-06,1000,193000000.0,0.000319,8.02
1.2,0.65,5e-06,500,353000000.0,0.000351,3.27
1.2,0.65,5e-06,600,300000000.0,0.000344,4.58
1.2,0.65,5e-06,700,262000000.0,0.000337,5.66
1.2,0.65,5e-06,800,233000000.0,0.000331,6.57
1.2,0.65,5e-06,900,211000000.0,0.000324,7.34
1.2,0.65,5e-06,1100,178000000.0,0.000313,8.62
1.2,0.65,5e-06,1200,166000000.0,0.000308,9.16
1.2,0.65,5e-06,1300,155000000.0,0.000302,9.63
1.2,0.65,5e-06,1400,146000000.0,0.000298,10.07
1.2,0.65,5e-06,1500,138000000.0,0.000293,10.46
1.2,0.65,5e-06,1600,131000000.0,0.000288,10.82
1.2,0.65,5e-06,1700,125000000.0,0.000284,11.15
1.2,0.65,5e-06,1800,120000000.0,0.00028,11.46
1.2,0.65,5e-06,1900,115000000.0,0.000276,11.74
1.2,0.65,5e-06,2000,110000000.0,0.000272,12.01
1.2,0.65,5e-06,2100,106000000.0,0.000268,12.25
1.2,0.65,5e-06,2200,103000000.0,0.000264,12.48
1.2,0.65,5e-06,2300,99100000.0,0.000261,12.7
1.2,0.65,5e-06,2400,96100000.0,0.000257,12.9
1.2,0.65,5e-06,2500,93300000.0,0.000254,13.09
1.2,0.65,5e-06,2600,90600000.0,0.000251,13.27
1.2,0.65,5e-06,2700,88100000.0,0.000248,13.44
1.2,0.65,5e-06,2800,85800000.0,0.000245,13.61
1.2,0.65,5e-06,2900,83600000.0,0.000242,13.76
1.2,0.65,5e-06,3000,81400000.0,0.000239,13.9
1.2,0.65,3e-06,1000,180000000.0,0.000206,4.57
1.2,0.65,3e-06,600,287000000.0,0.000217,0.8
1.2,0.65,3e-06,700,249000000.0,0.000214,1.97
1.2,0.65,3e-06,800,220000000.0,0.000211,2.96
1.2,0.65,3e-06,900,198000000.0,0.000209,3.82
1.2,0.65,3e-06,1100,166000000.0,0.000204,5.24
1.2,0.65,3e-06,1200,154000000.0,0.000201,5.84
1.2,0.65,3e-06,1300,143000000.0,0.000199,6.39
1.2,0.65,3e-06,1400,134000000.0,0.000197,6.88
1.2,0.65,3e-06,1500,127000000.0,0.000194,7.34
1.2,0.65,3e-06,1600,120000000.0,0.000192,7.76
1.2,0.65,3e-06,1700,114000000.0,0.00019,8.14
1.2,0.65,3e-06,1800,109000000.0,0.000188,8.5
1.2,0.65,3e-06,1900,104000000.0,0.000186,8.84
1.2,0.65,3e-06,2000,99500000.0,0.000184,9.15
1.2,0.65,3e-06,2100,95700000.0,0.000183,9.44
1.2,0.65,3e-06,2200,92200000.0,0.000181,9.72
1.2,0.65,3e-06,2300,89000000.0,0.000179,9.98
1.2,0.65,3e-06,2400,86000000.0,0.000177,10.22
1.2,0.65,3e-06,2500,83200000.0,0.000176,10.46
1.2,0.65,3e-06,2600,80500000.0,0.000174,10.68
1.2,0.65,3e-06,2700,78100000.0,0.000172,10.89
1.2,0.65,3e-06,2800,76000000.0,0.000171,11.08
1.2,0.65,3e-06,2900,74000000.0,0.000169,11.27
1.2,0.65,3e-06,3000,72200000.0,0.000168,11.45
1.2,0.65,4e-06,1000,187000000.0,0.000264,6.56
1.2,0.65,4e-06,500,346000000.0,0.000287,1.61
1.2,0.65,4e-06,600,293000000.0,0.000282,2.96
1.2,0.65,4e-06,700,255000000.0,0.000277,4.08
1.2,0.65,4e-06,800,227000000.0,0.000273,5.03
1.2,0.65,4e-06,900,204000000.0,0.000268,5.85
1.2,0.65,4e-06,1100,172000000.0,0.00026,7.2
1.2,0.65,4e-06,1200,160000000.0,0.000257,7.76
1.2,0.65,4e-06,1300,149000000.0,0.000253,8.27
1.2,0.65,4e-06,1400,140000000.0,0.000249,8.73
1.2,0.65,4e-06,1500,133000000.0,0.000246,9.15
1.2,0.65,4e-06,1600,126000000.0,0.000243,9.54
1.2,0.65,4e-06,1700,120000000.0,0.000239,9.9
1.2,0.65,4e-06,1800,114000000.0,0.000236,10.23
1.2,0.65,4e-06,1900,110000000.0,0.000233,10.53
1.2,0.65,4e-06,2000,105000000.0,0.000231,10.82
1.2,0.65,4e-06,2100,101000000.0,0.000228,11.09
1.2,0.65,4e-06,2200,97500000.0,0.000225,11.34
1.2,0.65,4e-06,2300,94300000.0,0.000222,11.57
1.2,0.65,4e-06,2400,91300000.0,0.00022,11.8
1.2,0.65,4e-06,2500,88500000.0,0.000217,12.01
1.2,0.65,4e-06,2600,85900000.0,0.000215,12.2
1.2,0.65,4e-06,2700,83400000.0,0.000212,12.39
1.2,0.65,4e-06,2800,81000000.0,0.00021,12.57
1.2,0.65,4e-06,2900,78900000.0,0.000208,12.74
1.2,0.65,4e-06,3000,77000000.0,0.000206,12.9
1.2,0.65,6e-06,1000,198000000.0,0.000369,9.16
1.2,0.65,6e-06,500,359000000.0,0.000413,4.58
1.2,0.65,6e-06,600,306000000.0,0.000403,5.85
1.2,0.65,6e-06,700,268000000.0,0.000394,6.89
1.2,0.65,6e-06,800,239000000.0,0.000385,7.76
1.2,0.65,6e-06,900,216000000.0,0.000377,8.51
1.2,0.65,6e-06,1100,183000000.0,0.000362,9.73
1.2,0.65,6e-06,1200,171000000.0,0.000355,10.23
1.2,0.65,6e-06,1300,160000000.0,0.000348,10.68
1.2,0.65,6e-06,1400,151000000.0,0.000342,11.09
1.2,0.65,6e-06,1500,143000000.0,0.000336,11.46
1.2,0.65,6e-06,1600,136000000.0,0.00033,11.8
1.2,0.65,6e-06,1700,130000000.0,0.000324,12.11
1.2,0.65,6e-06,1800,125000000.0,0.000319,12.4
1.2,0.65,6e-06,1900,120000000.0,0.000314,12.66
1.2,0.65,6e-06,2000,115000000.0,0.000309,12.9
1.2,0.65,6e-06,2100,111000000.0,0.000304,13.13
1.2,0.65,6e-06,2200,107000000.0,0.000299,13.34
1.2,0.65,6e-06,2300,104000000.0,0.000295,13.54
1.2,0.65,6e-06,2400,101000000.0,0.000291,13.73
1.2,0.65,6e-06,2500,97600000.0,0.000287,13.91
1.2,0.65,6e-06,2600,94900000.0,0.000283,14.07
1.2,0.65,6e-06,2700,92500000.0,0.000279,14.23
1.2,0.65,6e-06,2800,90100000.0,0.000275,14.37
1.2,0.65,6e-06,2900,87900000.0,0.000271,14.51
1.2,0.65,6e-06,3000,85800000.0,0.000268,14.65
1.2,0.65,7e-06,1000,204000000.0,0.000417,10.07
1.2,0.65,7e-06,500,365000000.0,0.000472,5.66
1.2,0.65,7e-06,600,312000000.0,0.000459,6.89
1.2,0.65,7e-06,700,274000000.0,0.000448,7.9
1.2,0.65,7e-06,800,245000000.0,0.000437,8.74
1.2,0.65,7e-06,900,222000000.0,0.000426,9.45
1.2,0.65,7e-06,1100,189000000.0,0.000407,10.61
1.2,0.65,7e-06,1200,176000000.0,0.000399,11.09
1.2,0.65,7e-06,1300,166000000.0,0.00039,11.52
1.2,0.65,7e-06,1400,156000000.0,0.000383,11.91
1.2,0.65,7e-06,1500,148000000.0,0.000375,12.26
1.2,0.65,7e-06,1600,141000000.0,0.000368,12.57
1.2,0.65,7e-06,1700,135000000.0,0.000361,12.87
1.2,0.65,7e-06,1800,129000000.0,0.000355,13.13
1.2,0.65,7e-06,1900,124000000.0,0.000348,13.38
1.2,0.65,7e-06,2000,120000000.0,0.000343,13.61
1.2,0.65,7e-06,2100,115000000.0,0.000337,13.82
1.2,0.65,7e-06,2200,112000000.0,0.000331,14.02
1.2,0.65,7e-06,2300,108000000.0,0.000326,14.2
1.2,0.65,7e-06,2400,105000000.0,0.000321,14.38
1.2,0.65,7e-06,2500,102000000.0,0.000316,14.54
1.2,0.65,7e-06,2600,98900000.0,0.000311,14.69
1.2,0.65,7e-06,2700,96400000.0,0.000307,14.83
1.2,0.65,7e-06,2800,94100000.0,0.000302,14.97
1.2,0.65,7e-06,2900,91900000.0,0.000298,15.09
1.2,0.65,7e-06,3000,89800000.0,0.000294,15.21
1.2,0.65,8e-06,1000,209000000.0,0.000461,10.83
1.2,0.65,8e-06,500,371000000.0,0.000529,6.57
1.2,0.65,8e-06,600,318000000.0,0.000514,7.77
