L1p,L1s,L3p,L3s,Lm,Wn1,Wn2,S11,S22,LargeSignalPowerGain,PAE,DrainEfficiency,PSAT,PowerConsumption
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,1.6e-05,2.4e-05,-9.658,-8.869,18.43,10.85,11.05,0.86,0.0108
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,1.6e-05,4e-05,-9.468,-3.332,5.414,1.19,4.322,-1.342,0.0145
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,1.9e-05,3.2e-05,-15.05,-4.872,12.68,8.963,11.61,2.669,0.0136
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,1.9e-05,2.4e-05,-15.56,-9.681,19.41,9.681,9.81,0.7,0.0118
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,2.5e-05,2.4e-05,-17.52,-12.21,19.84,15.75,18.08,4.266,0.0137
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,2.5e-05,2.8e-05,-18.34,-7.627,16.87,12.96,15.31,3.9,0.0146
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,2.8e-05,3.2e-05,-13.45,-5.341,12.97,8.808,10.62,2.514,0.0165
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,2.8e-05,2.4e-05,-12.88,-12.89,19.21,14.91,17.94,4.352,0.0147
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.2e-05,2.4e-05,-22.96,-8.601,19.39,15.66,17.5,4.107,0.0127
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.2e-05,2.8e-05,-22.06,-5.963,16.28,12.91,14.95,3.759,0.0137
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.2e-05,4e-05,-21.39,-2.916,6.365,2.156,5.342,0.283,0.0164
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,1.6e-05,2.4e-05,-9.485,-7.119,17.65,16.01,17.96,3.469,0.0108
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,1.6e-05,2.8e-05,-9.432,-5.293,14.48,12.51,14.99,3.268,0.0117
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,1.9e-05,3.2e-05,-14.05,-4.083,11.89,8.46,11.17,2.671,0.0136
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,1.9e-05,2.4e-05,-14.43,-7.69,18.74,16.0,17.77,3.927,0.0118
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,1.9e-05,2.8e-05,-14.19,-5.568,15.6,12.95,15.06,3.559,0.0127
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,1.9e-05,3.6e-05,-13.96,-3.31,8.524,4.249,7.584,1.076,0.0145
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.5e-05,3.2e-05,-19.74,-4.461,12.92,8.82,11.25,2.844,0.0156
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.5e-05,2.4e-05,-18.63,-9.801,19.56,15.14,17.34,4.225,0.0137
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.5e-05,2.8e-05,-19.31,-6.448,16.5,12.56,14.8,3.79,0.0146
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.5e-05,3.6e-05,-20.05,-3.494,9.635,5.279,8.069,1.977,0.0165
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.5e-05,4e-05,-20.31,-2.966,6.782,2.507,5.539,0.638,0.0174
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.8e-05,2.4e-05,-13.57,-10.73,19.11,14.42,17.26,4.291,0.0147
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.8e-05,2.8e-05,-14.08,-6.868,16.15,11.98,14.64,3.943,0.0156
3.5e-10,8e-11,7.13e-10,6e-11,8.75e-11,2.8e-05,3.6e-05,-14.55,-3.563,9.533,5.225,8.088,2.083,0.0175
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,2.2e-05,3.2e-05,-37.48,-6.023,13.73,9.438,11.98,2.818,0.0146
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,2.2e-05,2.8e-05,-34.66,-8.604,17.17,13.65,15.77,3.682,0.0136
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,1.6e-05,3.2e-05,-9.738,-5.667,12.26,8.167,11.4,2.217,0.0126
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,1.6e-05,2.4e-05,-9.905,-11.37,19.04,17.03,19.01,3.66,0.0108
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,1.6e-05,2.8e-05,-9.798,-7.7,15.82,13.34,15.69,3.188,0.0117
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,1.9e-05,3.2e-05,-16.38,-5.843,13.29,9.065,11.83,2.256,0.0136
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,1.9e-05,2.4e-05,-17.07,-12.52,19.85,16.97,18.92,3.906,0.0117
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,1.9e-05,2.8e-05,-16.61,-8.115,16.8,9.007,9.248,0.741,0.0127
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,1.9e-05,3.6e-05,-16.23,-4.668,10.09,4.731,8.192,1.233,0.0145
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,2.5e-05,2.4e-05,-15.93,-15.47,19.89,15.86,18.18,4.21,0.0137
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,2.8e-05,2.4e-05,-12.14,-15.8,19.07,14.92,17.89,4.313,0.0147
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,2.8e-05,2.8e-05,-12.34,-9.257,16.19,12.44,15.31,3.953,0.0156
3.5e-10,8e-11,7.13e-10,6e-11,2.63e-10,2.8e-05,3.6e-05,-12.46,-4.787,9.932,5.498,8.61,2.057,0.0174
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.2e-05,3.2e-05,-27.69,-4.071,12.78,6.286,8.359,1.144,0.0146
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.2e-05,2.4e-05,-27.81,-13.73,18.91,10.3,11.91,2.102,0.0127
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.2e-05,2.8e-05,-27.53,-7.3,16.79,9.309,11.08,2.039,0.0137
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.2e-05,3.6e-05,-27.61,-2.861,9.013,3.6,5.889,0.222,0.0155
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,1.6e-05,3.2e-05,-9.51,-3.813,11.04,5.602,8.098,0.699,0.0126
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,1.6e-05,3.6e-05,-9.483,-2.736,7.215,2.468,5.38,-0.682,0.0135
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,1.9e-05,2.4e-05,-15.71,-15.75,18.68,10.64,12.19,1.955,0.0118
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,1.9e-05,2.8e-05,-15.13,-7.015,16.33,9.477,10.92,1.375,0.0127
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,1.9e-05,3.6e-05,-14.9,-2.792,8.343,3.223,5.711,-0.12,0.0145
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,1.9e-05,4e-05,-14.83,-2.243,5.136,1.093,3.726,-1.676,0.0154
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.5e-05,3.2e-05,-18.98,-4.251,12.92,6.191,8.304,1.453,0.0156
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.5e-05,2.8e-05,-18.63,-7.763,16.8,8.928,10.85,2.15,0.0146
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.5e-05,4e-05,-19.39,-2.312,6.091,1.693,4.145,-0.807,0.0174
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.8e-05,3.2e-05,-13.54,-4.417,12.54,5.855,8.204,1.529,0.0165
3.5e-10,8e-11,7.13e-10,3e-11,1.75e-10,2.8e-05,2.8e-05,-13.47,-8.351,16.31,8.357,10.65,2.213,0.0156
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,2.2e-05,2.4e-05,-22.72,-16.15,18.73,9.889,11.27,2.035,0.0127
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,2.2e-05,2.8e-05,-21.67,-7.286,16.58,9.123,10.78,1.978,0.0137
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,2.2e-05,3.6e-05,-21.47,-2.519,8.297,3.37,5.704,0.175,0.0155
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,2.2e-05,4e-05,-21.37,-1.991,4.99,1.255,3.832,-1.194,0.0164
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,1.6e-05,3.2e-05,-9.378,-3.454,10.42,5.395,8.028,0.786,0.0126
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,1.6e-05,2.4e-05,-9.553,-15.8,17.66,10.39,11.86,1.711,0.0108
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,1.9e-05,3.2e-05,-14.0,-3.546,11.54,5.947,8.175,1.104,0.0136
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,1.9e-05,2.4e-05,-14.59,-16.76,18.37,10.22,11.58,1.903,0.0118
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,1.9e-05,2.8e-05,-14.14,-7.014,16.02,9.288,11.04,1.84,0.0127
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,1.9e-05,3.6e-05,-13.94,-2.454,7.535,2.951,5.569,-0.11,0.0145
3.5e-10,8e-11,7.13e-10,3e-11,8.75e-11,1.9e-05,4e-05,-13.88,-1.956,4.209,0.854,3.579,-1.741,0.0155
