Wbias,Rd,Wn1,Wn2,Bandwidth,PowerConsumption,VoltageGain
4.5e-06,2000,1.4e-05,1.2e-05,98300000.0,0.00097,19.07
4.5e-06,2000,1.5e-05,5e-06,103000000.0,0.000954,16.31
4.5e-06,2000,1.5e-05,6e-06,102000000.0,0.000965,17.43
4.5e-06,2000,1.5e-05,7e-06,101000000.0,0.000971,18.07
4.5e-06,2000,1.5e-05,8e-06,101000000.0,0.000976,18.44
4.5e-06,2000,1.5e-05,9e-06,100000000.0,0.00098,18.67
4.5e-06,2000,1.5e-05,1e-05,100000000.0,0.000982,18.82
4.5e-06,2000,1.5e-05,1.1e-05,100000000.0,0.000985,18.92
4.5e-06,2000,1.5e-05,1.2e-05,101000000.0,0.000987,18.98
4.5e-06,2000,1.6e-05,5e-06,105000000.0,0.000968,15.95
4.5e-06,2000,1.6e-05,6e-06,104000000.0,0.000979,17.16
4.5e-06,2000,1.6e-05,7e-06,103000000.0,0.000986,17.84
4.5e-06,2000,1.6e-05,8e-06,103000000.0,0.000991,18.24
4.5e-06,2000,1.6e-05,9e-06,103000000.0,0.000995,18.48
4.5e-06,2000,1.6e-05,1e-05,103000000.0,0.000998,18.62
4.5e-06,2000,1.6e-05,1.1e-05,103000000.0,0.001,18.71
4.5e-06,2000,1.6e-05,1.2e-05,104000000.0,0.001,18.76
4.5e-06,2000,1.7e-05,5e-06,108000000.0,0.000981,15.5
4.5e-06,2000,1.7e-05,6e-06,107000000.0,0.000992,16.77
4.5e-06,2000,1.7e-05,7e-06,107000000.0,0.001,17.49
4.5e-06,2000,1.7e-05,8e-06,107000000.0,0.00101,17.91
4.5e-06,2000,1.7e-05,9e-06,107000000.0,0.00101,18.16
4.5e-06,2000,1.7e-05,1e-05,107000000.0,0.00101,18.31
4.5e-06,2000,1.7e-05,1.1e-05,107000000.0,0.00101,18.39
4.5e-06,2000,1.7e-05,1.2e-05,108000000.0,0.00102,18.42
4.5e-06,500,6e-06,5e-06,325000000.0,0.000727,3.78
4.5e-06,500,6e-06,6e-06,324000000.0,0.000731,3.95
4.5e-06,500,6e-06,7e-06,324000000.0,0.000735,4.06
4.5e-06,500,6e-06,8e-06,323000000.0,0.000737,4.14
4.5e-06,500,6e-06,9e-06,323000000.0,0.000739,4.2
4.5e-06,500,6e-06,1e-05,322000000.0,0.000741,4.25
4.5e-06,500,6e-06,1.1e-05,322000000.0,0.000742,4.29
4.5e-06,500,6e-06,1.2e-05,322000000.0,0.000744,4.32
4.5e-06,500,7e-06,5e-06,325000000.0,0.000772,4.55
4.5e-06,500,7e-06,6e-06,324000000.0,0.000776,4.74
4.5e-06,500,7e-06,7e-06,324000000.0,0.00078,4.87
4.5e-06,500,7e-06,8e-06,323000000.0,0.000783,4.96
4.5e-06,500,7e-06,9e-06,323000000.0,0.000785,5.02
4.5e-06,500,7e-06,1e-05,323000000.0,0.000786,5.07
4.5e-06,500,7e-06,1.1e-05,322000000.0,0.000788,5.12
4.5e-06,500,7e-06,1.2e-05,322000000.0,0.00079,5.15
4.5e-06,500,8e-06,5e-06,325000000.0,0.00081,5.17
4.5e-06,500,8e-06,6e-06,325000000.0,0.000815,5.39
4.5e-06,500,8e-06,7e-06,324000000.0,0.000819,5.53
4.5e-06,500,8e-06,8e-06,324000000.0,0.000822,5.63
4.5e-06,500,8e-06,9e-06,323000000.0,0.000823,5.7
4.5e-06,500,8e-06,1e-05,323000000.0,0.000825,5.75
4.5e-06,500,8e-06,1.1e-05,322000000.0,0.000827,5.8
4.5e-06,500,8e-06,1.2e-05,322000000.0,0.000828,5.84
4.5e-06,500,9e-06,5e-06,326000000.0,0.000843,5.69
4.5e-06,500,9e-06,6e-06,325000000.0,0.000848,5.93
4.5e-06,500,9e-06,7e-06,324000000.0,0.000852,6.09
4.5e-06,500,9e-06,8e-06,324000000.0,0.000855,6.19
4.5e-06,500,9e-06,9e-06,323000000.0,0.000858,6.27
4.5e-06,500,9e-06,1e-05,323000000.0,0.000859,6.33
4.5e-06,500,9e-06,1.1e-05,323000000.0,0.000861,6.38
4.5e-06,500,9e-06,1.2e-05,322000000.0,0.000862,6.42
4.5e-06,500,1e-05,5e-06,326000000.0,0.000872,6.12
4.5e-06,500,1e-05,6e-06,325000000.0,0.000877,6.39
4.5e-06,500,1e-05,7e-06,325000000.0,0.000881,6.56
4.5e-06,500,1e-05,8e-06,324000000.0,0.000884,6.67
4.5e-06,500,1e-05,9e-06,324000000.0,0.000886,6.75
4.5e-06,500,1e-05,1e-05,323000000.0,0.000889,6.82
4.5e-06,500,1e-05,1.1e-05,323000000.0,0.00089,6.87
4.5e-06,500,1e-05,1.2e-05,322000000.0,0.000892,6.91
4.5e-06,500,1.1e-05,5e-06,326000000.0,0.000897,6.48
4.5e-06,500,1.1e-05,6e-06,325000000.0,0.000903,6.79
4.5e-06,500,1.1e-05,7e-06,325000000.0,0.000907,6.97
4.5e-06,500,1.1e-05,8e-06,324000000.0,0.00091,7.09
4.5e-06,500,1.1e-05,9e-06,324000000.0,0.000913,7.18
4.5e-06,500,1.1e-05,1e-05,323000000.0,0.000915,7.25
4.5e-06,500,1.1e-05,1.1e-05,323000000.0,0.000917,7.3
4.5e-06,500,1.1e-05,1.2e-05,322000000.0,0.000918,7.34
4.5e-06,500,1.2e-05,5e-06,326000000.0,0.00092,6.79
4.5e-06,500,1.2e-05,6e-06,326000000.0,0.000926,7.13
4.5e-06,500,1.2e-05,7e-06,325000000.0,0.00093,7.32
4.5e-06,500,1.2e-05,8e-06,324000000.0,0.000934,7.45
4.5e-06,500,1.2e-05,9e-06,324000000.0,0.000936,7.55
4.5e-06,500,1.2e-05,1e-05,323000000.0,0.000938,7.62
4.5e-06,500,1.2e-05,1.1e-05,323000000.0,0.00094,7.68
4.5e-06,500,1.2e-05,1.2e-05,323000000.0,0.000942,7.72
4.5e-06,500,1.3e-05,5e-06,327000000.0,0.000941,7.06
4.5e-06,500,1.3e-05,6e-06,326000000.0,0.000947,7.43
4.5e-06,500,1.3e-05,7e-06,325000000.0,0.000952,7.64
4.5e-06,500,1.3e-05,8e-06,325000000.0,0.000955,7.78
4.5e-06,500,1.3e-05,9e-06,324000000.0,0.000957,7.88
4.5e-06,500,1.3e-05,1e-05,324000000.0,0.00096,7.95
4.5e-06,500,1.3e-05,1.1e-05,323000000.0,0.000961,8.01
4.5e-06,500,1.3e-05,1.2e-05,323000000.0,0.000963,8.06
4.5e-06,500,1.4e-05,5e-06,327000000.0,0.00096,7.29
4.5e-06,500,1.4e-05,6e-06,326000000.0,0.000966,7.69
4.5e-06,500,1.4e-05,7e-06,325000000.0,0.000971,7.92
4.5e-06,500,1.4e-05,8e-06,325000000.0,0.000974,8.07
4.5e-06,500,1.4e-05,9e-06,324000000.0,0.000977,8.17
4.5e-06,500,1.4e-05,1e-05,324000000.0,0.000979,8.25
4.5e-06,500,1.4e-05,1.1e-05,323000000.0,0.000981,8.31
4.5e-06,500,1.4e-05,1.2e-05,323000000.0,0.000983,8.36
4.5e-06,500,1.5e-05,5e-06,327000000.0,0.000977,7.49
4.5e-06,500,1.5e-05,6e-06,326000000.0,0.000984,7.93
4.5e-06,500,1.5e-05,7e-06,325000000.0,0.000988,8.17
4.5e-06,500,1.5e-05,8e-06,325000000.0,0.000992,8.33
4.5e-06,500,1.5e-05,9e-06,324000000.0,0.000994,8.44
4.5e-06,500,1.5e-05,1e-05,324000000.0,0.000997,8.52
4.5e-06,500,1.5e-05,1.1e-05,323000000.0,0.000999,8.58
4.5e-06,500,1.5e-05,1.2e-05,323000000.0,0.001,8.64
4.5e-06,500,1.6e-05,5e-06,328000000.0,0.000993,7.66
4.5e-06,500,1.6e-05,6e-06,326000000.0,0.001,8.14
4.5e-06,500,1.6e-05,7e-06,326000000.0,0.001,8.39
4.5e-06,500,1.6e-05,8e-06,325000000.0,0.00101,8.56
4.5e-06,500,1.6e-05,9e-06,324000000.0,0.00101,8.68
4.5e-06,500,1.6e-05,1e-05,324000000.0,0.00101,8.76
4.5e-06,500,1.6e-05,1.1e-05,323000000.0,0.00102,8.83
4.5e-06,500,1.6e-05,1.2e-05,323000000.0,0.00102,8.88
4.5e-06,500,1.7e-05,5e-06,328000000.0,0.00101,7.81
4.5e-06,500,1.7e-05,6e-06,327000000.0,0.00102,8.32
4.5e-06,500,1.7e-05,7e-06,326000000.0,0.00102,8.59
4.5e-06,500,1.7e-05,8e-06,325000000.0,0.00102,8.77
4.5e-06,500,1.7e-05,9e-06,325000000.0,0.00103,8.89
4.5e-06,500,1.7e-05,1e-05,324000000.0,0.00103,8.98
4.5e-06,500,1.7e-05,1.1e-05,324000000.0,0.00103,9.05
4.5e-06,500,1.7e-05,1.2e-05,323000000.0,0.00103,9.11
4.5e-06,600,6e-06,5e-06,275000000.0,0.000726,5.33
4.5e-06,600,6e-06,6e-06,274000000.0,0.000731,5.5
4.5e-06,600,6e-06,7e-06,274000000.0,0.000734,5.62
4.5e-06,600,6e-06,8e-06,273000000.0,0.000736,5.7
4.5e-06,600,6e-06,9e-06,273000000.0,0.000739,5.76
4.5e-06,600,6e-06,1e-05,273000000.0,0.00074,5.81
4.5e-06,600,6e-06,1.1e-05,272000000.0,0.000742,5.85
4.5e-06,600,6e-06,1.2e-05,272000000.0,0.000743,5.88
4.5e-06,600,7e-06,5e-06,275000000.0,0.000771,6.09
4.5e-06,600,7e-06,6e-06,275000000.0,0.000776,6.29
4.5e-06,600,7e-06,7e-06,274000000.0,0.000779,6.42
4.5e-06,600,7e-06,8e-06,274000000.0,0.000782,6.51
4.5e-06,600,7e-06,9e-06,273000000.0,0.000784,6.58
4.5e-06,600,7e-06,1e-05,273000000.0,0.000786,6.63
4.5e-06,600,7e-06,1.1e-05,273000000.0,0.000788,6.67
4.5e-06,600,7e-06,1.2e-05,272000000.0,0.000789,6.71
4.5e-06,600,8e-06,5e-06,275000000.0,0.000809,6.71
4.5e-06,600,8e-06,6e-06,275000000.0,0.000814,6.94
4.5e-06,600,8e-06,7e-06,274000000.0,0.000818,7.08
4.5e-06,600,8e-06,8e-06,274000000.0,0.000821,7.18
4.5e-06,600,8e-06,9e-06,274000000.0,0.000823,7.25
4.5e-06,600,8e-06,1e-05,273000000.0,0.000825,7.31
4.5e-06,600,8e-06,1.1e-05,273000000.0,0.000826,7.36
4.5e-06,600,8e-06,1.2e-05,272000000.0,0.000828,7.4
4.5e-06,600,9e-06,5e-06,276000000.0,0.000842,7.22
4.5e-06,600,9e-06,6e-06,275000000.0,0.000847,7.47
4.5e-06,600,9e-06,7e-06,275000000.0,0.000851,7.63
4.5e-06,600,9e-06,8e-06,274000000.0,0.000854,7.74
4.5e-06,600,9e-06,9e-06,274000000.0,0.000857,7.82
4.5e-06,600,9e-06,1e-05,273000000.0,0.000858,7.88
4.5e-06,600,9e-06,1.1e-05,273000000.0,0.00086,7.93
4.5e-06,600,9e-06,1.2e-05,273000000.0,0.000862,7.97
4.5e-06,600,1e-05,5e-06,276000000.0,0.000871,7.64
4.5e-06,600,1e-05,6e-06,275000000.0,0.000876,7.93
4.5e-06,600,1e-05,7e-06,275000000.0,0.00088,8.1
4.5e-06,600,1e-05,8e-06,274000000.0,0.000884,8.22
4.5e-06,600,1e-05,9e-06,274000000.0,0.000886,8.31
4.5e-06,600,1e-05,1e-05,274000000.0,0.000888,8.37
4.5e-06,600,1e-05,1.1e-05,273000000.0,0.00089,8.42
4.5e-06,600,1e-05,1.2e-05,273000000.0,0.000891,8.47
4.5e-06,600,1.1e-05,5e-06,276000000.0,0.000897,8.0
4.5e-06,600,1.1e-05,6e-06,276000000.0,0.000902,8.32
4.5e-06,600,1.1e-05,7e-06,275000000.0,0.000906,8.51
4.5e-06,600,1.1e-05,8e-06,275000000.0,0.00091,8.64
4.5e-06,600,1.1e-05,9e-06,274000000.0,0.000913,8.73
4.5e-06,600,1.1e-05,1e-05,274000000.0,0.000915,8.8
4.5e-06,600,1.1e-05,1.1e-05,273000000.0,0.000916,8.85
4.5e-06,600,1.1e-05,1.2e-05,273000000.0,0.000918,8.9
4.5e-06,600,1.2e-05,5e-06,277000000.0,0.000919,8.3
4.5e-06,600,1.2e-05,6e-06,276000000.0,0.000925,8.65
4.5e-06,600,1.2e-05,7e-06,275000000.0,0.00093,8.86
4.5e-06,600,1.2e-05,8e-06,275000000.0,0.000933,9.0
4.5e-06,600,1.2e-05,9e-06,274000000.0,0.000936,9.1
4.5e-06,600,1.2e-05,1e-05,274000000.0,0.000938,9.17
4.5e-06,600,1.2e-05,1.1e-05,273000000.0,0.00094,9.23
4.5e-06,600,1.2e-05,1.2e-05,273000000.0,0.000941,9.27
4.5e-06,600,1.3e-05,5e-06,277000000.0,0.00094,8.56
4.5e-06,600,1.3e-05,6e-06,276000000.0,0.000946,8.95
4.5e-06,600,1.3e-05,7e-06,276000000.0,0.000951,9.17
4.5e-06,600,1.3e-05,8e-06,275000000.0,0.000954,9.32
4.5e-06,600,1.3e-05,9e-06,274000000.0,0.000957,9.42
4.5e-06,600,1.3e-05,1e-05,274000000.0,0.000959,9.5
4.5e-06,600,1.3e-05,1.1e-05,274000000.0,0.000961,9.56
4.5e-06,600,1.3e-05,1.2e-05,273000000.0,0.000962,9.61
4.5e-06,600,1.4e-05,5e-06,277000000.0,0.000959,8.78
4.5e-06,600,1.4e-05,6e-06,276000000.0,0.000965,9.2
4.5e-06,600,1.4e-05,7e-06,276000000.0,0.00097,9.45
4.5e-06,600,1.4e-05,8e-06,275000000.0,0.000973,9.61
4.5e-06,600,1.4e-05,9e-06,275000000.0,0.000976,9.71
4.5e-06,600,1.4e-05,1e-05,274000000.0,0.000978,9.79
4.5e-06,600,1.4e-05,1.1e-05,274000000.0,0.00098,9.86
4.5e-06,600,1.4e-05,1.2e-05,273000000.0,0.000982,9.91
4.5e-06,600,1.5e-05,5e-06,278000000.0,0.000976,8.97
4.5e-06,600,1.5e-05,6e-06,277000000.0,0.000983,9.43
4.5e-06,600,1.5e-05,7e-06,276000000.0,0.000987,9.69
4.5e-06,600,1.5e-05,8e-06,275000000.0,0.000991,9.86
4.5e-06,600,1.5e-05,9e-06,275000000.0,0.000994,9.97
4.5e-06,600,1.5e-05,1e-05,274000000.0,0.000996,10.06
4.5e-06,600,1.5e-05,1.1e-05,274000000.0,0.000998,10.13
4.5e-06,600,1.5e-05,1.2e-05,273000000.0,0.001,10.18
4.5e-06,600,1.6e-05,5e-06,278000000.0,0.000992,9.13
4.5e-06,600,1.6e-05,6e-06,277000000.0,0.000999,9.63
4.5e-06,600,1.6e-05,7e-06,276000000.0,0.001,9.92
4.5e-06,600,1.6e-05,8e-06,275000000.0,0.00101,10.09
4.5e-06,600,1.6e-05,9e-06,275000000.0,0.00101,10.21
4.5e-06,600,1.6e-05,1e-05,274000000.0,0.00101,10.3
4.5e-06,600,1.6e-05,1.1e-05,274000000.0,0.00101,10.37
4.5e-06,600,1.6e-05,1.2e-05,274000000.0,0.00102,10.43
4.5e-06,600,1.7e-05,5e-06,279000000.0,0.00101,9.27
4.5e-06,600,1.7e-05,6e-06,277000000.0,0.00101,9.81
4.5e-06,600,1.7e-05,7e-06,276000000.0,0.00102,10.11
4.5e-06,600,1.7e-05,8e-06,276000000.0,0.00102,10.3
4.5e-06,600,1.7e-05,9e-06,275000000.0,0.00103,10.43
4.5e-06,600,1.7e-05,1e-05,275000000.0,0.00103,10.52
4.5e-06,600,1.7e-05,1.1e-05,274000000.0,0.00103,10.59
4.5e-06,600,1.7e-05,1.2e-05,274000000.0,0.00103,10.65
4.5e-06,700,6e-06,5e-06,235000000.0,0.000726,6.63
4.5e-06,700,6e-06,6e-06,234000000.0,0.00073,6.81
4.5e-06,700,6e-06,7e-06,234000000.0,0.000734,6.93
4.5e-06,700,6e-06,8e-06,234000000.0,0.000737,7.01
4.5e-06,700,6e-06,9e-06,233000000.0,0.000738,7.07
4.5e-06,700,6e-06,1e-05,233000000.0,0.00074,7.12
4.5e-06,700,6e-06,1.1e-05,232000000.0,0.000741,7.16
4.5e-06,700,6e-06,1.2e-05,232000000.0,0.000743,7.2
4.5e-06,700,7e-06,5e-06,235000000.0,0.00077,7.39
4.5e-06,700,7e-06,6e-06,235000000.0,0.000775,7.6
4.5e-06,700,7e-06,7e-06,234000000.0,0.000779,7.73
4.5e-06,700,7e-06,8e-06,234000000.0,0.000782,7.82
4.5e-06,700,7e-06,9e-06,234000000.0,0.000783,7.89
4.5e-06,700,7e-06,1e-05,233000000.0,0.000785,7.94
4.5e-06,700,7e-06,1.1e-05,233000000.0,0.000787,7.99
4.5e-06,700,7e-06,1.2e-05,232000000.0,0.000788,8.03
4.5e-06,700,8e-06,5e-06,236000000.0,0.000808,8.0
4.5e-06,700,8e-06,6e-06,235000000.0,0.000813,8.23
4.5e-06,700,8e-06,7e-06,235000000.0,0.000817,8.38
4.5e-06,700,8e-06,8e-06,234000000.0,0.00082,8.49
4.5e-06,700,8e-06,9e-06,234000000.0,0.000823,8.56
4.5e-06,700,8e-06,1e-05,233000000.0,0.000824,8.62
4.5e-06,700,8e-06,1.1e-05,233000000.0,0.000826,8.67
4.5e-06,700,8e-06,1.2e-05,233000000.0,0.000827,8.71
4.5e-06,700,9e-06,5e-06,236000000.0,0.000841,8.5
4.5e-06,700,9e-06,6e-06,236000000.0,0.000847,8.77
4.5e-06,700,9e-06,7e-06,235000000.0,0.00085,8.93
4.5e-06,700,9e-06,8e-06,235000000.0,0.000854,9.04
4.5e-06,700,9e-06,9e-06,234000000.0,0.000856,9.13
4.5e-06,700,9e-06,1e-05,234000000.0,0.000858,9.19
4.5e-06,700,9e-06,1.1e-05,233000000.0,0.000859,9.24
4.5e-06,700,9e-06,1.2e-05,233000000.0,0.000861,9.28
4.5e-06,700,1e-05,5e-06,237000000.0,0.00087,8.91
4.5e-06,700,1e-05,6e-06,236000000.0,0.000876,9.21
4.5e-06,700,1e-05,7e-06,235000000.0,0.00088,9.4
4.5e-06,700,1e-05,8e-06,235000000.0,0.000883,9.52
4.5e-06,700,1e-05,9e-06,234000000.0,0.000886,9.61
4.5e-06,700,1e-05,1e-05,234000000.0,0.000888,9.68
4.5e-06,700,1e-05,1.1e-05,233000000.0,0.000889,9.73
4.5e-06,700,1e-05,1.2e-05,233000000.0,0.000891,9.77
4.5e-06,700,1.1e-05,5e-06,237000000.0,0.000896,9.26
4.5e-06,700,1.1e-05,6e-06,236000000.0,0.000901,9.6
4.5e-06,700,1.1e-05,7e-06,236000000.0,0.000906,9.8
4.5e-06,700,1.1e-05,8e-06,235000000.0,0.000909,9.93
4.5e-06,700,1.1e-05,9e-06,235000000.0,0.000912,10.03
4.5e-06,700,1.1e-05,1e-05,234000000.0,0.000914,10.1
4.5e-06,700,1.1e-05,1.1e-05,234000000.0,0.000915,10.15
4.5e-06,700,1.1e-05,1.2e-05,233000000.0,0.000917,10.2
4.5e-06,700,1.2e-05,5e-06,237000000.0,0.000918,9.56
4.5e-06,700,1.2e-05,6e-06,237000000.0,0.000925,9.93
4.5e-06,700,1.2e-05,7e-06,236000000.0,0.000929,10.15
4.5e-06,700,1.2e-05,8e-06,235000000.0,0.000932,10.29
4.5e-06,700,1.2e-05,9e-06,235000000.0,0.000935,10.39
4.5e-06,700,1.2e-05,1e-05,234000000.0,0.000938,10.47
4.5e-06,700,1.2e-05,1.1e-05,234000000.0,0.000939,10.53
4.5e-06,700,1.2e-05,1.2e-05,233000000.0,0.00094,10.58
4.5e-06,700,1.3e-05,5e-06,238000000.0,0.000939,9.81
4.5e-06,700,1.3e-05,6e-06,237000000.0,0.000945,10.22
4.5e-06,700,1.3e-05,7e-06,236000000.0,0.00095,10.45
4.5e-06,700,1.3e-05,8e-06,235000000.0,0.000953,10.61
4.5e-06,700,1.3e-05,9e-06,235000000.0,0.000956,10.72
4.5e-06,700,1.3e-05,1e-05,234000000.0,0.000959,10.8
4.5e-06,700,1.3e-05,1.1e-05,234000000.0,0.000961,10.87
4.5e-06,700,1.3e-05,1.2e-05,234000000.0,0.000962,10.91
4.5e-06,700,1.4e-05,5e-06,238000000.0,0.000958,10.02
4.5e-06,700,1.4e-05,6e-06,237000000.0,0.000964,10.47
4.5e-06,700,1.4e-05,7e-06,236000000.0,0.000969,10.73
4.5e-06,700,1.4e-05,8e-06,236000000.0,0.000973,10.89
4.5e-06,700,1.4e-05,9e-06,235000000.0,0.000975,11.01
4.5e-06,700,1.4e-05,1e-05,235000000.0,0.000978,11.09
4.5e-06,700,1.4e-05,1.1e-05,234000000.0,0.00098,11.16
4.5e-06,700,1.4e-05,1.2e-05,234000000.0,0.000981,11.21
4.5e-06,700,1.5e-05,5e-06,239000000.0,0.000975,10.2
4.5e-06,700,1.5e-05,6e-06,237000000.0,0.000982,10.69
4.5e-06,700,1.5e-05,7e-06,237000000.0,0.000987,10.97
4.5e-06,700,1.5e-05,8e-06,236000000.0,0.00099,11.14
4.5e-06,700,1.5e-05,9e-06,235000000.0,0.000993,11.27
4.5e-06,700,1.5e-05,1e-05,235000000.0,0.000996,11.36
4.5e-06,700,1.5e-05,1.1e-05,234000000.0,0.000997,11.42
4.5e-06,700,1.5e-05,1.2e-05,234000000.0,0.000999,11.48
4.5e-06,700,1.6e-05,5e-06,239000000.0,0.000991,10.35
4.5e-06,700,1.6e-05,6e-06,238000000.0,0.000998,10.89
4.5e-06,700,1.6e-05,7e-06,237000000.0,0.001,11.18
4.5e-06,700,1.6e-05,8e-06,236000000.0,0.00101,11.37
4.5e-06,700,1.6e-05,9e-06,235000000.0,0.00101,11.5
4.5e-06,700,1.6e-05,1e-05,235000000.0,0.00101,11.6
4.5e-06,700,1.6e-05,1.1e-05,235000000.0,0.00101,11.67
4.5e-06,700,1.6e-05,1.2e-05,234000000.0,0.00102,11.72
4.5e-06,700,1.7e-05,5e-06,240000000.0,0.00101,10.48
4.5e-06,700,1.7e-05,6e-06,238000000.0,0.00101,11.06
4.5e-06,700,1.7e-05,7e-06,237000000.0,0.00102,11.38
4.5e-06,700,1.7e-05,8e-06,236000000.0,0.00102,11.58
4.5e-06,700,1.7e-05,9e-06,236000000.0,0.00102,11.72
4.5e-06,700,1.7e-05,1e-05,235000000.0,0.00103,11.81
4.5e-06,700,1.7e-05,1.1e-05,235000000.0,0.00103,11.89
4.5e-06,700,1.7e-05,1.2e-05,234000000.0,0.00103,11.95
4.5e-06,800,6e-06,5e-06,200000000.0,0.000725,7.76
4.5e-06,800,6e-06,6e-06,200000000.0,0.00073,7.94
4.5e-06,800,6e-06,7e-06,199000000.0,0.000733,8.06
