C1,C2,Ld,Lg,Ls,WN1,WN2,GTMax,S11Min,NFMin,Bandwidth,PowerConsumption
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.25e-06,6e-06,15.16,-13.99,1.799,4280000000.0,0.0164
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.5e-06,5e-06,15.29,-14.3,1.806,4190000000.0,0.0168
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.5e-06,5.25e-06,15.32,-14.3,1.804,4180000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.5e-06,5.5e-06,15.34,-14.3,1.802,4160000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.5e-06,5.75e-06,15.37,-14.3,1.8,4150000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.5e-06,6e-06,15.39,-14.29,1.798,4130000000.0,0.017
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.75e-06,5e-06,15.5,-14.51,1.809,4060000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.75e-06,5.25e-06,15.53,-14.45,1.807,4050000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.75e-06,5.5e-06,15.55,-14.41,1.805,4030000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.75e-06,5.75e-06,15.58,-14.43,1.803,4020000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.75e-06,6e-06,15.6,-14.45,1.801,4000000000.0,0.0176
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,6e-06,5e-06,15.69,-14.79,1.81,3940000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,6e-06,5.25e-06,15.71,-14.76,1.807,3930000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,6e-06,5.5e-06,15.74,-14.73,1.805,3910000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,6e-06,5.75e-06,15.77,-14.7,1.803,3900000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,6e-06,6e-06,15.79,-14.66,1.801,3890000000.0,0.0182
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5e-06,5e-06,14.38,-12.57,1.835,4230000000.0,0.0156
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5e-06,5.25e-06,14.41,-12.57,1.833,4200000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5e-06,5.5e-06,14.43,-12.6,1.831,4180000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5e-06,5.75e-06,14.45,-12.62,1.829,4160000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5e-06,6e-06,14.47,-12.64,1.827,4130000000.0,0.0158
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.25e-06,5e-06,14.61,-12.86,1.833,4090000000.0,0.0162
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.25e-06,5.25e-06,14.64,-12.86,1.831,4070000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.25e-06,5.5e-06,14.66,-12.85,1.829,4050000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.25e-06,5.75e-06,14.68,-12.84,1.827,4030000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.25e-06,6e-06,14.7,-12.83,1.826,4000000000.0,0.0164
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.5e-06,5e-06,14.82,-13.07,1.834,3970000000.0,0.0168
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.5e-06,5.25e-06,14.84,-13.09,1.832,3950000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.5e-06,5.5e-06,14.87,-13.11,1.829,3930000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.5e-06,5.75e-06,14.89,-13.13,1.827,3910000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.5e-06,6e-06,14.91,-13.14,1.826,3890000000.0,0.017
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.75e-06,5e-06,15.0,-13.26,1.834,3860000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.75e-06,5.25e-06,15.03,-13.26,1.832,3840000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.75e-06,5.5e-06,15.05,-13.3,1.83,3830000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.75e-06,5.75e-06,15.08,-13.34,1.828,3810000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,5.75e-06,6e-06,15.1,-13.37,1.826,3790000000.0,0.0176
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,6e-06,5e-06,15.17,-13.55,1.835,3770000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,6e-06,5.25e-06,15.2,-13.55,1.833,3750000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,6e-06,5.5e-06,15.22,-13.55,1.83,3740000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,6e-06,5.75e-06,15.25,-13.55,1.828,3720000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,8e-10,6e-06,6e-06,15.27,-13.54,1.826,3710000000.0,0.0182
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5e-06,5e-06,14.2,-12.52,1.883,4300000000.0,0.0156
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5e-06,5.25e-06,14.23,-12.42,1.881,4270000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5e-06,5.5e-06,14.26,-12.32,1.879,4240000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5e-06,5.75e-06,14.28,-12.23,1.877,4210000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5e-06,6e-06,14.3,-12.14,1.875,4180000000.0,0.0158
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.25e-06,5e-06,14.44,-13.15,1.879,4170000000.0,0.0162
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.25e-06,5.25e-06,14.46,-13.05,1.877,4140000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.25e-06,5.5e-06,14.49,-12.95,1.875,4110000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.25e-06,5.75e-06,14.51,-12.86,1.873,4080000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.25e-06,6e-06,14.53,-12.78,1.871,4060000000.0,0.0164
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.5e-06,5e-06,14.65,-13.74,1.88,4050000000.0,0.0168
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.5e-06,5.25e-06,14.67,-13.65,1.877,4020000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.5e-06,5.5e-06,14.7,-13.57,1.875,4000000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.5e-06,5.75e-06,14.72,-13.49,1.873,3970000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.5e-06,6e-06,14.75,-13.41,1.871,3950000000.0,0.017
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.75e-06,5e-06,14.84,-14.31,1.877,3950000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.75e-06,5.25e-06,14.87,-14.24,1.875,3920000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.75e-06,5.5e-06,14.89,-14.16,1.872,3900000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.75e-06,5.75e-06,14.92,-14.09,1.871,3880000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,5.75e-06,6e-06,14.94,-14.03,1.869,3850000000.0,0.0176
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,6e-06,5e-06,15.01,-14.83,1.878,3850000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,6e-06,5.25e-06,15.04,-14.78,1.876,3830000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,6e-06,5.5e-06,15.07,-14.73,1.873,3810000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,6e-06,5.75e-06,15.09,-14.68,1.871,3790000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,7.47e-10,6e-06,6e-06,15.11,-14.63,1.869,3770000000.0,0.0182
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5e-06,5e-06,14.81,-16.49,1.833,4920000000.0,0.0156
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5e-06,5.25e-06,14.83,-16.38,1.831,4900000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5e-06,5.5e-06,14.85,-16.27,1.828,4880000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5e-06,5.75e-06,14.87,-16.17,1.827,4860000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5e-06,6e-06,14.89,-16.06,1.825,4830000000.0,0.0158
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.25e-06,5e-06,15.07,-16.97,1.833,4730000000.0,0.0162
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.25e-06,5.25e-06,15.09,-16.91,1.831,4710000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.25e-06,5.5e-06,15.11,-16.85,1.829,4690000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.25e-06,5.75e-06,15.13,-16.78,1.828,4670000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.25e-06,6e-06,15.15,-16.72,1.826,4640000000.0,0.0164
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.5e-06,5e-06,15.3,-17.15,1.833,4550000000.0,0.0168
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.5e-06,5.25e-06,15.33,-17.16,1.831,4540000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.5e-06,5.5e-06,15.35,-17.16,1.829,4520000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.5e-06,5.75e-06,15.38,-17.15,1.827,4490000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.5e-06,6e-06,15.4,-17.13,1.825,4470000000.0,0.017
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.75e-06,5e-06,15.52,-17.44,1.835,4400000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.75e-06,5.25e-06,15.55,-17.33,1.833,4390000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.75e-06,5.5e-06,15.58,-17.22,1.831,4370000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.75e-06,5.75e-06,15.6,-17.26,1.829,4340000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,5.75e-06,6e-06,15.63,-17.3,1.828,4320000000.0,0.0176
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,6e-06,5e-06,15.72,-17.84,1.836,4270000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,6e-06,5.25e-06,15.75,-17.8,1.833,4250000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,6e-06,5.5e-06,15.78,-17.74,1.831,4230000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,6e-06,5.75e-06,15.81,-17.68,1.829,4210000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,6e-10,6e-06,6e-06,15.83,-17.61,1.827,4190000000.0,0.0182
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5e-06,5e-06,14.39,-13.54,1.866,4480000000.0,0.0156
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5e-06,5.25e-06,14.42,-13.43,1.864,4450000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5e-06,5.5e-06,14.44,-13.33,1.862,4420000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5e-06,5.75e-06,14.47,-13.23,1.86,4390000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5e-06,6e-06,14.49,-13.14,1.858,4360000000.0,0.0158
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.25e-06,5e-06,14.63,-14.18,1.864,4330000000.0,0.0162
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.25e-06,5.25e-06,14.66,-14.08,1.861,4300000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.25e-06,5.5e-06,14.69,-13.99,1.859,4270000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.25e-06,5.75e-06,14.71,-13.9,1.857,4240000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.25e-06,6e-06,14.74,-13.81,1.856,4210000000.0,0.0164
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.5e-06,5e-06,14.85,-14.75,1.864,4190000000.0,0.0168
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.5e-06,5.25e-06,14.88,-14.67,1.861,4170000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.5e-06,5.5e-06,14.91,-14.59,1.859,4140000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.5e-06,5.75e-06,14.93,-14.52,1.857,4110000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.5e-06,6e-06,14.96,-14.45,1.855,4090000000.0,0.017
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.75e-06,5e-06,15.06,-15.24,1.863,4070000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.75e-06,5.25e-06,15.08,-15.19,1.861,4050000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.75e-06,5.5e-06,15.11,-15.14,1.858,4030000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.75e-06,5.75e-06,15.14,-15.09,1.857,4000000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,5.75e-06,6e-06,15.16,-15.03,1.855,3980000000.0,0.0176
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,6e-06,5e-06,15.24,-15.64,1.864,3970000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,6e-06,5.25e-06,15.27,-15.63,1.861,3950000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,6e-06,5.5e-06,15.3,-15.61,1.859,3930000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,6e-06,5.75e-06,15.32,-15.59,1.857,3900000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,7e-10,6e-06,6e-06,15.34,-15.56,1.855,3880000000.0,0.0182
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5e-06,5e-06,13.99,-11.56,1.902,4120000000.0,0.0156
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5e-06,5.25e-06,14.02,-11.46,1.899,4090000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5e-06,5.5e-06,14.04,-11.37,1.898,4070000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5e-06,5.75e-06,14.06,-11.29,1.896,4040000000.0,0.0157
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5e-06,6e-06,14.08,-11.21,1.895,4010000000.0,0.0158
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.25e-06,5e-06,14.21,-12.15,1.897,4010000000.0,0.0162
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.25e-06,5.25e-06,14.24,-12.06,1.895,3980000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.25e-06,5.5e-06,14.26,-11.97,1.893,3960000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.25e-06,5.75e-06,14.29,-11.88,1.891,3930000000.0,0.0163
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.25e-06,6e-06,14.31,-11.8,1.889,3900000000.0,0.0164
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.5e-06,5e-06,14.41,-12.75,1.897,3910000000.0,0.0168
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.5e-06,5.25e-06,14.44,-12.65,1.894,3890000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.5e-06,5.5e-06,14.46,-12.57,1.892,3860000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.5e-06,5.75e-06,14.49,-12.48,1.891,3840000000.0,0.0169
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.5e-06,6e-06,14.51,-12.41,1.889,3810000000.0,0.017
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.75e-06,5e-06,14.59,-13.33,1.894,3820000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.75e-06,5.25e-06,14.62,-13.25,1.891,3800000000.0,0.0174
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.75e-06,5.5e-06,14.64,-13.17,1.889,3780000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.75e-06,5.75e-06,14.67,-13.09,1.887,3760000000.0,0.0175
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,5.75e-06,6e-06,14.69,-13.02,1.885,3730000000.0,0.0176
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,6e-06,5e-06,14.75,-13.92,1.895,3740000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,6e-06,5.25e-06,14.78,-13.85,1.893,3720000000.0,0.018
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,6e-06,5.5e-06,14.81,-13.77,1.89,3700000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,6e-06,5.75e-06,14.83,-13.7,1.888,3680000000.0,0.0181
4e-13,2.5e-13,3.7e-09,8.4e-09,8e-10,6e-06,6e-06,14.85,-13.64,1.886,3660000000.0,0.0182
4e-13,2.5e-13,3.7e-09,9.4e-09,7.47e-10,5e-06,5e-06,14.41,-13.46,1.848,4360000000.0,0.0156
