C,R,WLO,WRF,PowerConsumption,IFVoltageSwing,ConversionGain,NoiseFigure
1e-12,200,1.5e-05,2.3e-05,0.00931,0.00307,4.411,8.504
1e-12,200,1.5e-05,2.4e-05,0.00931,0.0031,4.49,8.509
1e-12,200,1.5e-05,2.5e-05,0.00931,0.00312,4.56,8.518
1e-12,225,1e-05,2e-05,0.00892,0.00307,4.399,8.415
1e-12,225,1e-05,1.5e-05,0.00891,0.00276,3.581,8.591
1e-12,225,1e-05,1.6e-05,0.00892,0.00283,3.79,8.532
1e-12,225,1e-05,1.7e-05,0.00892,0.0029,3.973,8.487
1e-12,225,1e-05,1.8e-05,0.00892,0.00297,4.133,8.454
1e-12,225,1e-05,1.9e-05,0.00892,0.00302,4.275,8.43
1e-12,225,1e-05,2.1e-05,0.00892,0.00311,4.509,8.407
1e-12,225,1e-05,2.2e-05,0.00892,0.00314,4.605,8.405
1e-12,225,1e-05,2.3e-05,0.00892,0.00319,4.689,8.408
1e-12,225,1e-05,2.4e-05,0.00892,0.00321,4.763,8.415
1e-12,225,1e-05,2.5e-05,0.00892,0.00325,4.827,8.427
1e-12,225,5e-06,2e-05,0.00879,0.00304,4.325,8.45
1e-12,225,5e-06,1.5e-05,0.00878,0.00275,3.546,8.605
1e-12,225,5e-06,1.6e-05,0.00879,0.00282,3.748,8.551
1e-12,225,5e-06,1.7e-05,0.00879,0.00289,3.923,8.51
1e-12,225,5e-06,1.8e-05,0.00879,0.00294,4.076,8.481
1e-12,225,5e-06,1.9e-05,0.00879,0.003,4.209,8.462
1e-12,225,5e-06,2.1e-05,0.00879,0.00308,4.425,8.445
1e-12,225,5e-06,2.2e-05,0.00879,0.00312,4.51,8.446
1e-12,225,5e-06,2.3e-05,0.00878,0.00315,4.583,8.453
1e-12,225,5e-06,2.4e-05,0.00878,0.00318,4.644,8.464
1e-12,225,5e-06,2.5e-05,0.00878,0.00321,4.695,8.479
1e-12,225,6e-06,2e-05,0.00884,0.00307,4.383,8.435
1e-12,225,6e-06,1.5e-05,0.00883,0.00277,3.591,8.597
1e-12,225,6e-06,1.6e-05,0.00884,0.00284,3.795,8.542
1e-12,225,6e-06,1.7e-05,0.00884,0.0029,3.973,8.5
1e-12,225,6e-06,1.8e-05,0.00884,0.00296,4.129,8.47
1e-12,225,6e-06,1.9e-05,0.00884,0.00302,4.265,8.448
1e-12,225,6e-06,2.1e-05,0.00884,0.00311,4.486,8.429
1e-12,225,6e-06,2.2e-05,0.00884,0.00315,4.575,8.428
1e-12,225,6e-06,2.3e-05,0.00884,0.00318,4.651,8.433
1e-12,225,6e-06,2.4e-05,0.00884,0.0032,4.716,8.442
1e-12,225,6e-06,2.5e-05,0.00884,0.00324,4.77,8.455
1e-12,225,7e-06,2e-05,0.00887,0.00307,4.401,8.428
1e-12,225,7e-06,1.5e-05,0.00886,0.00278,3.601,8.596
1e-12,225,7e-06,1.6e-05,0.00887,0.00284,3.807,8.54
1e-12,225,7e-06,1.7e-05,0.00887,0.00291,3.986,8.497
1e-12,225,7e-06,1.8e-05,0.00887,0.00296,4.144,8.465
1e-12,225,7e-06,1.9e-05,0.00887,0.00302,4.281,8.443
1e-12,225,7e-06,2.1e-05,0.00887,0.00311,4.506,8.421
1e-12,225,7e-06,2.2e-05,0.00887,0.00315,4.597,8.419
1e-12,225,7e-06,2.3e-05,0.00887,0.00319,4.676,8.422
1e-12,225,7e-06,2.4e-05,0.00887,0.00323,4.743,8.43
1e-12,225,7e-06,2.5e-05,0.00887,0.00324,4.801,8.442
1e-12,225,8e-06,2e-05,0.0089,0.00307,4.401,8.424
1e-12,225,8e-06,1.5e-05,0.00889,0.00277,3.596,8.597
1e-12,225,8e-06,1.6e-05,0.00889,0.00285,3.802,8.539
1e-12,225,8e-06,1.7e-05,0.00889,0.00291,3.983,8.495
1e-12,225,8e-06,1.8e-05,0.00889,0.00297,4.141,8.463
1e-12,225,8e-06,1.9e-05,0.0089,0.00302,4.279,8.439
1e-12,225,8e-06,2.1e-05,0.0089,0.00312,4.507,8.416
1e-12,225,8e-06,2.2e-05,0.0089,0.00316,4.6,8.413
1e-12,225,8e-06,2.3e-05,0.00889,0.00319,4.681,8.416
1e-12,225,8e-06,2.4e-05,0.00889,0.00323,4.751,8.423
1e-12,225,8e-06,2.5e-05,0.00889,0.00326,4.811,8.435
1e-12,225,9e-06,2e-05,0.00891,0.00307,4.397,8.419
1e-12,225,9e-06,1.5e-05,0.0089,0.00277,3.586,8.595
1e-12,225,9e-06,1.6e-05,0.00891,0.00284,3.793,8.537
1e-12,225,9e-06,1.7e-05,0.00891,0.00291,3.975,8.492
1e-12,225,9e-06,1.8e-05,0.00891,0.00298,4.134,8.459
1e-12,225,9e-06,1.9e-05,0.00891,0.00302,4.274,8.435
1e-12,225,9e-06,2.1e-05,0.00891,0.00312,4.505,8.411
1e-12,225,9e-06,2.2e-05,0.00891,0.00315,4.599,8.408
1e-12,225,9e-06,2.3e-05,0.00891,0.00319,4.682,8.411
1e-12,225,9e-06,2.4e-05,0.00891,0.00322,4.754,8.418
1e-12,225,9e-06,2.5e-05,0.00891,0.00325,4.816,8.43
1e-12,225,1.1e-05,2e-05,0.00893,0.00307,4.414,8.413
1e-12,225,1.1e-05,1.5e-05,0.00892,0.00275,3.588,8.587
1e-12,225,1.1e-05,1.6e-05,0.00892,0.00282,3.798,8.528
1e-12,225,1.1e-05,1.7e-05,0.00893,0.00289,3.983,8.484
1e-12,225,1.1e-05,1.8e-05,0.00893,0.00296,4.145,8.451
1e-12,225,1.1e-05,1.9e-05,0.00893,0.00302,4.288,8.427
1e-12,225,1.1e-05,2.1e-05,0.00893,0.0031,4.525,8.405
1e-12,225,1.1e-05,2.2e-05,0.00893,0.00313,4.623,8.403
1e-12,225,1.1e-05,2.3e-05,0.00893,0.00318,4.708,8.406
1e-12,225,1.1e-05,2.4e-05,0.00892,0.00321,4.783,8.414
1e-12,225,1.1e-05,2.5e-05,0.00892,0.00324,4.847,8.426
1e-12,225,1.2e-05,2e-05,0.00893,0.00306,4.442,8.414
1e-12,225,1.2e-05,1.5e-05,0.00893,0.00274,3.608,8.588
1e-12,225,1.2e-05,1.6e-05,0.00893,0.00282,3.82,8.529
1e-12,225,1.2e-05,1.7e-05,0.00893,0.00288,4.006,8.485
1e-12,225,1.2e-05,1.8e-05,0.00893,0.00294,4.17,8.452
1e-12,225,1.2e-05,1.9e-05,0.00893,0.003,4.314,8.429
1e-12,225,1.2e-05,2.1e-05,0.00893,0.00311,4.554,8.406
1e-12,225,1.2e-05,2.2e-05,0.00893,0.00313,4.653,8.404
1e-12,225,1.2e-05,2.3e-05,0.00893,0.00317,4.74,8.408
1e-12,225,1.2e-05,2.4e-05,0.00893,0.00321,4.815,8.415
1e-12,225,1.2e-05,2.5e-05,0.00893,0.00323,4.881,8.427
1e-12,225,1.3e-05,2e-05,0.00894,0.00305,4.478,8.421
1e-12,225,1.3e-05,1.5e-05,0.00893,0.00274,3.636,8.595
1e-12,225,1.3e-05,1.6e-05,0.00893,0.00281,3.849,8.537
1e-12,225,1.3e-05,1.7e-05,0.00894,0.00287,4.037,8.492
1e-12,225,1.3e-05,1.8e-05,0.00894,0.00294,4.203,8.459
1e-12,225,1.3e-05,1.9e-05,0.00894,0.003,4.349,8.436
1e-12,225,1.3e-05,2.1e-05,0.00894,0.00309,4.592,8.413
1e-12,225,1.3e-05,2.2e-05,0.00894,0.00314,4.692,8.41
1e-12,225,1.3e-05,2.3e-05,0.00893,0.00317,4.78,8.413
1e-12,225,1.3e-05,2.4e-05,0.00893,0.0032,4.856,8.421
1e-12,225,1.3e-05,2.5e-05,0.00893,0.00324,4.923,8.432
1e-12,225,1.4e-05,2e-05,0.00894,0.00304,4.515,8.433
1e-12,225,1.4e-05,1.5e-05,0.00894,0.00273,3.665,8.609
1e-12,225,1.4e-05,1.6e-05,0.00894,0.00279,3.88,8.55
1e-12,225,1.4e-05,1.7e-05,0.00894,0.00286,4.07,8.506
1e-12,225,1.4e-05,1.8e-05,0.00894,0.00293,4.237,8.472
1e-12,225,1.4e-05,1.9e-05,0.00894,0.00299,4.384,8.448
1e-12,225,1.4e-05,2.1e-05,0.00894,0.00309,4.63,8.424
1e-12,225,1.4e-05,2.2e-05,0.00894,0.00313,4.732,8.421
1e-12,225,1.4e-05,2.3e-05,0.00894,0.00316,4.821,8.423
1e-12,225,1.4e-05,2.4e-05,0.00894,0.00321,4.899,8.43
1e-12,225,1.4e-05,2.5e-05,0.00893,0.00322,4.967,8.441
1e-12,225,1.5e-05,2e-05,0.00894,0.00304,4.544,8.448
1e-12,225,1.5e-05,1.5e-05,0.00894,0.00271,3.687,8.628
1e-12,225,1.5e-05,1.6e-05,0.00894,0.0028,3.904,8.568
1e-12,225,1.5e-05,1.7e-05,0.00894,0.00286,4.095,8.523
1e-12,225,1.5e-05,1.8e-05,0.00894,0.00292,4.263,8.489
1e-12,225,1.5e-05,1.9e-05,0.00894,0.00297,4.412,8.464
1e-12,225,1.5e-05,2.1e-05,0.00894,0.00307,4.661,8.439
1e-12,225,1.5e-05,2.2e-05,0.00894,0.00313,4.764,8.435
1e-12,225,1.5e-05,2.3e-05,0.00894,0.00317,4.855,8.437
1e-12,225,1.5e-05,2.4e-05,0.00894,0.0032,4.934,8.443
1e-12,225,1.5e-05,2.5e-05,0.00894,0.00323,5.003,8.453
1e-12,250,1e-05,2e-05,0.00857,0.00315,4.743,8.345
1e-12,250,1e-05,1.5e-05,0.00856,0.00284,3.927,8.509
1e-12,250,1e-05,1.6e-05,0.00857,0.00291,4.136,8.453
1e-12,250,1e-05,1.7e-05,0.00857,0.00298,4.319,8.411
1e-12,250,1e-05,1.8e-05,0.00857,0.00305,4.479,8.38
1e-12,250,1e-05,1.9e-05,0.00857,0.00311,4.62,8.358
1e-12,250,1e-05,2.1e-05,0.00857,0.0032,4.851,8.339
1e-12,250,1e-05,2.2e-05,0.00857,0.00324,4.946,8.338
1e-12,250,1e-05,2.3e-05,0.00857,0.00327,5.028,8.343
1e-12,250,1e-05,2.4e-05,0.00856,0.00329,5.1,8.352
1e-12,250,1e-05,2.5e-05,0.00856,0.00333,5.161,8.365
1e-12,250,5e-06,2e-05,0.00844,0.00313,4.602,8.375
1e-12,250,5e-06,1.5e-05,0.00844,0.00284,3.832,8.517
1e-12,250,5e-06,1.6e-05,0.00844,0.00291,4.032,8.465
1e-12,250,5e-06,1.7e-05,0.00844,0.00297,4.206,8.428
1e-12,250,5e-06,1.8e-05,0.00844,0.00303,4.357,8.401
1e-12,250,5e-06,1.9e-05,0.00844,0.00308,4.489,8.384
1e-12,250,5e-06,2.1e-05,0.00844,0.00317,4.7,8.372
1e-12,250,5e-06,2.2e-05,0.00844,0.0032,4.784,8.376
1e-12,250,5e-06,2.3e-05,0.00844,0.00323,4.855,8.384
1e-12,250,5e-06,2.4e-05,0.00844,0.00325,4.914,8.397
1e-12,250,5e-06,2.5e-05,0.00843,0.00329,4.963,8.414
1e-12,250,6e-06,2e-05,0.00849,0.00315,4.669,8.362
1e-12,250,6e-06,1.5e-05,0.00849,0.00285,3.885,8.51
1e-12,250,6e-06,1.6e-05,0.00849,0.00292,4.088,8.458
1e-12,250,6e-06,1.7e-05,0.00849,0.00299,4.265,8.419
1e-12,250,6e-06,1.8e-05,0.00849,0.00304,4.419,8.391
1e-12,250,6e-06,1.9e-05,0.00849,0.0031,4.553,8.373
1e-12,250,6e-06,2.1e-05,0.00849,0.00319,4.771,8.358
1e-12,250,6e-06,2.2e-05,0.00849,0.00323,4.858,8.36
1e-12,250,6e-06,2.3e-05,0.00849,0.00326,4.932,8.367
1e-12,250,6e-06,2.4e-05,0.00849,0.00329,4.995,8.378
1e-12,250,6e-06,2.5e-05,0.00849,0.00332,5.047,8.393
